城市,区,地铁站点数,人均可支配收入（元）,聚类种类
巴彦淖尔市,乌拉特中旗,0,,类别4
巴彦淖尔市,乌拉特后旗,0,,类别4
巴彦淖尔市,杭锦后旗,0,,类别4
乌兰察布市,集宁区,0,,类别4
乌兰察布市,卓资县,0,,类别4
乌兰察布市,化德县,0,,类别4
乌兰察布市,商都县,0,,类别4
乌兰察布市,兴和县,0,,类别4
乌兰察布市,凉城县,0,,类别4
乌兰察布市,察哈尔右翼前旗,0,,类别4
乌兰察布市,察哈尔右翼中旗,0,,类别4
乌兰察布市,察哈尔右翼后旗,0,,类别4
乌兰察布市,四子王旗,0,,类别4
乌兰察布市,丰镇市,0,,类别4
兴安盟,乌兰浩特市,0,,类别4
兴安盟,阿尔山市,0,,类别4
兴安盟,科尔沁右翼前旗,0,,类别4
兴安盟,科尔沁右翼中旗,0,,类别4
兴安盟,扎赉特旗,0,,类别4
兴安盟,突泉县,0,,类别4
锡林郭勒盟,二连浩特市,0,,类别4
锡林郭勒盟,锡林浩特市,0,,类别4
锡林郭勒盟,阿巴嘎旗,0,,类别4
锡林郭勒盟,苏尼特左旗,0,,类别4
锡林郭勒盟,苏尼特右旗,0,,类别4
锡林郭勒盟,东乌珠穆沁旗,0,,类别4
锡林郭勒盟,西乌珠穆沁旗,0,,类别4
锡林郭勒盟,太仆寺旗,0,,类别4
锡林郭勒盟,镶黄旗,0,,类别4
锡林郭勒盟,正镶白旗,0,,类别4
锡林郭勒盟,正蓝旗,0,,类别4
锡林郭勒盟,多伦县,0,,类别4
锡林郭勒盟,乌拉盖管理区管委会,0,,类别4
阿拉善盟,阿拉善左旗,0,,类别4
阿拉善盟,阿拉善右旗,0,,类别4
阿拉善盟,额济纳旗,0,,类别4
阿拉善盟,内蒙古阿拉善高新技术产业开发区,0,,类别4
沈阳市,和平区,17,47982.0,类别4
沈阳市,沈河区,18,47982.0,类别4
沈阳市,大东区,16,47982.0,类别4
沈阳市,皇姑区,16,47982.0,类别4
沈阳市,铁西区,25,47982.0,类别3
沈阳市,苏家屯区,1,47982.0,类别4
沈阳市,浑南区,33,47982.0,类别3
沈阳市,沈北新区,6,47982.0,类别4
沈阳市,于洪区,14,47982.0,类别4
沈阳市,辽中区,0,47982.0,类别4
沈阳市,康平县,0,47982.0,类别4
沈阳市,法库县,0,47982.0,类别4
沈阳市,新民市,0,47982.0,类别4
大连市,中山区,16,47982.0,类别4
大连市,西岗区,7,47982.0,类别4
大连市,沙河口区,16,47982.0,类别4
大连市,甘井子区,44,47982.0,类别1
大连市,旅顺口区,6,47982.0,类别4
大连市,金州区,26,47982.0,类别3
大连市,普兰店区,5,47982.0,类别4
大连市,长海县,0,47982.0,类别4
大连市,瓦房店市,0,47982.0,类别4
大连市,庄河市,0,47982.0,类别4
鞍山市,铁东区,0,,类别4
鞍山市,铁西区,0,,类别4
鞍山市,立山区,0,,类别4
鞍山市,千山区,0,,类别4
鞍山市,台安县,0,,类别4
鞍山市,岫岩满族自治县,0,,类别4
鞍山市,海城市,0,,类别4
抚顺市,新抚区,0,,类别4
抚顺市,东洲区,0,,类别4
抚顺市,望花区,0,,类别4
抚顺市,顺城区,0,,类别4
抚顺市,抚顺县,0,,类别4
抚顺市,新宾满族自治县,0,,类别4
抚顺市,清原满族自治县,0,,类别4
本溪市,平山区,0,,类别4
本溪市,溪湖区,0,,类别4
本溪市,明山区,0,,类别4
本溪市,南芬区,0,,类别4
本溪市,本溪满族自治县,0,,类别4
本溪市,桓仁满族自治县,0,,类别4
丹东市,元宝区,0,,类别4
丹东市,振兴区,0,,类别4
丹东市,振安区,0,,类别4
丹东市,宽甸满族自治县,0,,类别4
丹东市,东港市,0,,类别4
丹东市,凤城市,0,,类别4
锦州市,古塔区,0,,类别4
锦州市,凌河区,0,,类别4
锦州市,太和区,0,,类别4
锦州市,黑山县,0,,类别4
锦州市,义县,0,,类别4
锦州市,凌海市,0,,类别4
锦州市,北镇市,0,,类别4
营口市,站前区,0,,类别4
营口市,西市区,0,,类别4
营口市,鲅鱼圈区,0,,类别4
营口市,老边区,0,,类别4
营口市,盖州市,0,,类别4
营口市,大石桥市,0,,类别4
阜新市,海州区,0,,类别4
阜新市,新邱区,0,,类别4
阜新市,太平区,0,,类别4
阜新市,清河门区,0,,类别4
阜新市,细河区,0,,类别4
阜新市,阜新蒙古族自治县,0,,类别4
阜新市,彰武县,0,,类别4
辽阳市,白塔区,0,,类别4
辽阳市,文圣区,0,,类别4
辽阳市,宏伟区,0,,类别4
辽阳市,弓长岭区,0,,类别4
辽阳市,太子河区,0,,类别4
辽阳市,辽阳县,0,,类别4
辽阳市,灯塔市,0,,类别4
盘锦市,双台子区,0,,类别4
盘锦市,兴隆台区,0,,类别4
盘锦市,大洼区,0,,类别4
盘锦市,盘山县,0,,类别4
铁岭市,银州区,0,,类别4
铁岭市,清河区,0,,类别4
铁岭市,铁岭县,0,,类别4
铁岭市,西丰县,0,,类别4
铁岭市,昌图县,0,,类别4
铁岭市,调兵山市,0,,类别4
铁岭市,开原市,0,,类别4
朝阳市,双塔区,0,,类别4
朝阳市,龙城区,0,,类别4
朝阳市,朝阳县,0,,类别4
朝阳市,建平县,0,,类别4
朝阳市,喀喇沁左翼蒙古族自治县,0,,类别4
朝阳市,北票市,0,,类别4
朝阳市,凌源市,0,,类别4
葫芦岛市,连山区,0,,类别4
葫芦岛市,龙港区,0,,类别4
葫芦岛市,南票区,0,,类别4
葫芦岛市,绥中县,0,,类别4
葫芦岛市,建昌县,0,,类别4
葫芦岛市,兴城市,0,,类别4
长春市,南关区,56,39157.0,类别1
长春市,宽城区,25,39157.0,类别3
长春市,朝阳区,20,39157.0,类别4
长春市,二道区,8,39157.0,类别4
长春市,绿园区,16,39157.0,类别4
长春市,双阳区,0,39157.0,类别4
长春市,九台区,0,39157.0,类别4
长春市,农安县,0,39157.0,类别4
长春市,长春经济技术开发区,0,39157.0,类别4
长春市,长春净月高新技术产业开发区,0,39157.0,类别4
长春市,长春高新技术产业开发区,0,39157.0,类别4
长春市,长春汽车经济技术开发区,0,39157.0,类别4
长春市,榆树市,0,39157.0,类别4
长春市,德惠市,0,39157.0,类别4
长春市,公主岭市,0,39157.0,类别4
吉林市,昌邑区,0,,类别4
吉林市,龙潭区,0,,类别4
吉林市,船营区,0,,类别4
吉林市,丰满区,0,,类别4
吉林市,永吉县,0,,类别4
吉林市,吉林经济开发区,0,,类别4
吉林市,吉林高新技术产业开发区,0,,类别4
吉林市,吉林中国新加坡食品区,0,,类别4
吉林市,蛟河市,0,,类别4
吉林市,桦甸市,0,,类别4
吉林市,舒兰市,0,,类别4
吉林市,磐石市,0,,类别4
四平市,铁西区,0,,类别4
四平市,铁东区,0,,类别4
四平市,梨树县,0,,类别4
四平市,伊通满族自治县,0,,类别4
四平市,双辽市,0,,类别4
辽源市,龙山区,0,,类别4
辽源市,西安区,0,,类别4
辽源市,东丰县,0,,类别4
辽源市,东辽县,0,,类别4
通化市,东昌区,0,,类别4
通化市,二道江区,0,,类别4
通化市,通化县,0,,类别4
通化市,辉南县,0,,类别4
通化市,柳河县,0,,类别4
通化市,梅河口市,0,,类别4
通化市,集安市,0,,类别4
白山市,浑江区,0,,类别4
白山市,江源区,0,,类别4
白山市,抚松县,0,,类别4
白山市,靖宇县,0,,类别4
白山市,长白朝鲜族自治县,0,,类别4
白山市,临江市,0,,类别4
松原市,宁江区,0,,类别4
松原市,前郭尔罗斯蒙古族自治县,0,,类别4
松原市,长岭县,0,,类别4
松原市,乾安县,0,,类别4
松原市,吉林松原经济开发区,0,,类别4
松原市,扶余市,0,,类别4
白城市,洮北区,0,,类别4
白城市,镇赉县,0,,类别4
白城市,通榆县,0,,类别4
白城市,吉林白城经济开发区,0,,类别4
白城市,洮南市,0,,类别4
白城市,大安市,0,,类别4
延边朝鲜族自治州,延吉市,0,,类别4
延边朝鲜族自治州,图们市,0,,类别4
延边朝鲜族自治州,敦化市,0,,类别4
延边朝鲜族自治州,珲春市,0,,类别4
延边朝鲜族自治州,龙井市,0,,类别4
延边朝鲜族自治州,和龙市,0,,类别4
延边朝鲜族自治州,汪清县,0,,类别4
延边朝鲜族自治州,安图县,0,,类别4
哈尔滨市,道里区,16,38212.0,类别4
哈尔滨市,南岗区,27,38212.0,类别4
哈尔滨市,道外区,11,38212.0,类别4
哈尔滨市,平房区,1,38212.0,类别4
哈尔滨市,松北区,5,38212.0,类别4
哈尔滨市,香坊区,17,38212.0,类别4
哈尔滨市,呼兰区,2,38212.0,类别4
哈尔滨市,阿城区,0,38212.0,类别4
哈尔滨市,双城区,0,38212.0,类别4
哈尔滨市,依兰县,0,38212.0,类别4
哈尔滨市,方正县,0,38212.0,类别4
哈尔滨市,宾县,0,38212.0,类别4
哈尔滨市,巴彦县,0,38212.0,类别4
哈尔滨市,木兰县,0,38212.0,类别4
哈尔滨市,通河县,0,38212.0,类别4
哈尔滨市,延寿县,0,38212.0,类别4
哈尔滨市,尚志市,0,38212.0,类别4
哈尔滨市,五常市,0,38212.0,类别4
齐齐哈尔市,龙沙区,0,,类别4
齐齐哈尔市,建华区,0,,类别4
齐齐哈尔市,铁锋区,0,,类别4
齐齐哈尔市,昂昂溪区,0,,类别4
齐齐哈尔市,富拉尔基区,0,,类别4
齐齐哈尔市,碾子山区,0,,类别4
齐齐哈尔市,梅里斯达斡尔族区,0,,类别4
齐齐哈尔市,龙江县,0,,类别4
齐齐哈尔市,依安县,0,,类别4
齐齐哈尔市,泰来县,0,,类别4
齐齐哈尔市,甘南县,0,,类别4
齐齐哈尔市,富裕县,0,,类别4
齐齐哈尔市,克山县,0,,类别4
齐齐哈尔市,克东县,0,,类别4
齐齐哈尔市,拜泉县,0,,类别4
齐齐哈尔市,讷河市,0,,类别4
鸡西市,鸡冠区,0,,类别4
鸡西市,恒山区,0,,类别4
鸡西市,滴道区,0,,类别4
鸡西市,梨树区,0,,类别4
鸡西市,城子河区,0,,类别4
鸡西市,麻山区,0,,类别4
鸡西市,鸡东县,0,,类别4
鸡西市,虎林市,0,,类别4
鸡西市,密山市,0,,类别4
鹤岗市,向阳区,0,,类别4
鹤岗市,工农区,0,,类别4
鹤岗市,南山区,0,,类别4
鹤岗市,兴安区,0,,类别4
鹤岗市,东山区,0,,类别4
鹤岗市,兴山区,0,,类别4
鹤岗市,萝北县,0,,类别4
鹤岗市,绥滨县,0,,类别4
双鸭山市,尖山区,0,,类别4
双鸭山市,岭东区,0,,类别4
双鸭山市,四方台区,0,,类别4
双鸭山市,宝山区,0,,类别1
双鸭山市,集贤县,0,,类别4
双鸭山市,友谊县,0,,类别4
双鸭山市,宝清县,0,,类别4
双鸭山市,饶河县,0,,类别4
大庆市,萨尔图区,0,,类别4
大庆市,龙凤区,0,,类别4
大庆市,让胡路区,0,,类别4
大庆市,红岗区,0,,类别4
大庆市,大同区,0,,类别4
大庆市,肇州县,0,,类别4
大庆市,肇源县,0,,类别4
大庆市,林甸县,0,,类别4
大庆市,杜尔伯特蒙古族自治县,0,,类别4
大庆市,大庆高新技术产业开发区,0,,类别4
伊春市,伊美区,0,,类别4
伊春市,乌翠区,0,,类别4
伊春市,友好区,0,,类别4
伊春市,嘉荫县,0,,类别4
